PLU,ARTICLE,ARTICLE DESCRIPTION,PRICE
700,1419127,CBTL CREAM CHEESE CARROT CAKE,280
701,1419128,CBTL CARAMEL PASTRY,220
702,1419129,CBTL BOSTON NUT BROWNIE,260
703,1419130,CBTL CHOCO FUDGE CAKE,280
704,1419131,CBTL HAZELNUT TIRAMISU,350
705,1419132,CBTL BLUEBERRY CHEESE CAKE,350
706,1419133,CBTL WARM CHOCOLATE PIE,250
707,1419134,CBTL CHICAGO CHEESE CAKE,350
710,1419135,CBTL CHOCO ALMOND CROISSANT,200
715,1419136,CBTL CROISSANT BUTTER,180
717,1419137,CBTL PESTO COTTAGE CHEESE TURN OVER,200
718,1419138,CBTL KADAI CHICKEN CROISSANT,220
719,1419139,CBTL SCHEZWAN PANEER OPEN FACE,240
720,1419140,CBTL MULTIGRAIN CROISSANT,200
721,1419141,CBTL CHILLI CORN MUSHROOM,300
722,1419142,CBTL PANEER SPICY SOUTHERN WEST SANDWICH,320
728,1419143,CBTL CHIPOTALE CHICKEN SANDWICH,320
729,1419144,CBTL BBQ PULLED CHICKEN,320
731,1419145,CBTL CHICKEN HAM & CHEESE SANDWICH,300
732,1365217,SPROUTS MATKI PKT,49
734,1365195,SPROUTS MOONG PKT,49
735,1419146,CBTL SPINACH & CORN,340
736,1419147,CBTL BLUEBERRY MUFFINS,230
737,1419148,CBTL MOCHA HAZELNUT MUFFIN,230
738,1419149,CBTL CHOCOLATE OVERLAOAD MUFFIN,230
739,1419150,CBTL STICKY CHOCOLATE COOKIES,100
740,1419151,CBTL PEANUT BUTTER COOKIES,100
741,1419152,CBTL ALMOND BISCOTTI,175
742,1419153,CBTL CINNAMON OATMEL AND BLACKCURRANT,100
744,1368537,MANGO ALPHONSO  6PCS BOX,849
745,1419155,CBTL BANANA NUT CAKE,210
747,1419156,CBTL APPLE CRUMBLE SLICE CAKE,250
748,1419157,CBTL WHOLE WHEAT JAGGERY CAKE,210
749,1365285,SURAN,119
754,1419158,CBTL ALMOND CAKE,210
755,1368350,RED PLUM IMPORTED SPAIN,799
758,1419159,CBTL ESPRESSO SINGLE,200
759,1419160,CBTL ESPRESSO DOUBLE,230
760,1419161,CBTL MACCHIATO SINGLE,200
765,1365270,THYME FRESH,1599
766,1365404,EDAMAME FRESH PC,299
